cnty_fips,display_name,Value,theme_range
1001,"""Autauga, (AL)""",8.5,6.7 - 9.1 (633)
1003,"""Baldwin, (AL)""",10.7,9.2 - 11.7 (616)
1005,"""Barbour, (AL)""",12.5,11.8 - 15.0 (635)
1007,"""Bibb, (AL)""",9.7,9.2 - 11.7 (616)
1009,"""Blount, (AL)""",12.1,11.8 - 15.0 (635)
1011,"""Bullock, (AL)""",13.2,11.8 - 15.0 (635)
1013,"""Butler, (AL)""",10.7,9.2 - 11.7 (616)
1015,"""Calhoun, (AL)""",11.2,9.2 - 11.7 (616)
1017,"""Chambers, (AL)""",10.7,9.2 - 11.7 (616)
1019,"""Cherokee, (AL)""",11.9,11.8 - 15.0 (635)
1021,"""Chilton, (AL)""",14.2,11.8 - 15.0 (635)
1023,"""Choctaw, (AL)""",11.3,9.2 - 11.7 (616)
1025,"""Clarke, (AL)""",11.4,9.2 - 11.7 (616)
1027,"""Clay, (AL)""",13.4,11.8 - 15.0 (635)
1029,"""Cleburne, (AL)""",11.9,11.8 - 15.0 (635)
1031,"""Coffee, (AL)""",10.8,9.2 - 11.7 (616)
1033,"""Colbert, (AL)""",9.7,9.2 - 11.7 (616)
1035,"""Conecuh, (AL)""",12.8,11.8 - 15.0 (635)
1037,"""Coosa, (AL)""",13.3,11.8 - 15.0 (635)
1039,"""Covington, (AL)""",12.3,11.8 - 15.0 (635)
1041,"""Crenshaw, (AL)""",11.5,9.2 - 11.7 (616)
1043,"""Cullman, (AL)""",12.8,11.8 - 15.0 (635)
1045,"""Dale, (AL)""",11,9.2 - 11.7 (616)
1047,"""Dallas, (AL)""",10.4,9.2 - 11.7 (616)
1049,"""DeKalb, (AL)""",16.6,15.1 - 33.5 (616)
1051,"""Elmore, (AL)""",8.5,6.7 - 9.1 (633)
1053,"""Escambia, (AL)""",13.2,11.8 - 15.0 (635)
1055,"""Etowah, (AL)""",11.5,9.2 - 11.7 (616)
1057,"""Fayette, (AL)""",10.8,9.2 - 11.7 (616)
